GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010,ESN001,ESN002,ES1001,ES1002,ETQ001,ETQ002,ETQ003,ETQ004,ETQ005,ETQ006
"G130001095011","1990",,,,,,,"1","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",883,43,1,0,0,0,0,0,1,2,362,98,315,47,6,4,0,71,0,17
"G130001095012","1990",,,,,,,"2","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1381,90,1,0,0,3,0,0,0,6,551,107,461,90,29,4,4,41,0,29
"G130001095021","1990",,,,,,,"1","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1025,700,1,0,3,17,1,0,0,12,600,80,492,108,25,5,3,6,2,39
"G130001095022","1990",,,,,,,"2","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",561,580,4,0,0,4,0,0,0,0,405,80,270,135,31,5,1,17,0,26
"G130001095023","1990",,,,,,,"3","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",474,798,4,6,0,1,0,0,0,2,441,65,309,132,25,9,0,6,0,25
"G130001095031","1990",,,,,,,"1","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",903,150,0,0,0,16,0,0,0,11,424,75,178,246,43,9,11,1,1,10
"G130001095032","1990",,,,,,,"2","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1187,2,0,0,0,6,0,0,0,1,449,36,359,90,13,8,0,2,0,13
"G130001095033","1990",,,,,,,"3","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",866,65,0,10,0,3,0,0,0,4,390,48,272,118,23,14,1,1,1,8
"G130001095034","1990",,,,,,,"4","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",1064,295,2,16,0,7,0,0,3,4,517,35,403,114,11,7,0,1,0,16
"G130001095041","1990",,,,,,,"1","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",423,267,2,0,0,1,1,0,0,0,254,15,210,44,0,1,2,5,0,7
"G130001095042","1990",,,,,,,"2","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",511,17,0,0,0,0,0,0,0,9,200,18,180,20,1,0,2,5,0,10
"G130001095043","1990",,,,,,,"3","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",380,32,0,0,0,0,0,0,0,0,161,11,118,43,2,0,0,1,0,8
"G130001095051","1990",,,,,,,"1","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",876,19,0,0,1,0,0,0,0,0,349,41,286,63,3,0,0,4,1,33
"G130001095052","1990",,,,,,,"2","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",883,7,1,0,0,6,0,0,0,0,337,17,286,51,0,0,0,2,0,15
"G130001095053","1990",,,,,,,"3","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",869,201,1,1,0,6,0,0,4,7,394,69,331,63,4,2,0,30,2,31
"G130003096011","1990",,,,,,,"1","9601",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",571,224,2,0,0,9,0,0,0,19,289,66,224,65,33,5,3,9,6,10
"G130003096012","1990",,,,,,,"2","9601",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",450,407,0,1,0,3,0,0,0,18,319,41,251,68,13,3,4,9,1,11
"G130003096021","1990",,,,,,,"1","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1085,23,0,2,0,4,0,0,0,43,414,29,324,90,8,3,4,5,0,9
"G130003096022","1990",,,,,,,"2","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",685,510,0,0,0,4,4,0,0,30,424,31,273,151,15,1,3,2,0,10
"G130003096023","1990",,,,,,,"3","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",781,401,0,0,0,5,0,0,0,13,444,50,276,168,14,1,10,8,1,16
"G130003096031","1990",,,,,,,"1","9603",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",828,89,0,0,0,2,0,0,0,0,320,22,263,57,3,3,0,6,1,9
"G130005097011","1990",,,,,,,"1","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",830,40,0,1,0,5,0,0,1,6,310,50,248,62,13,3,0,3,0,31
"G130005097012","1990",,,,,,,"2","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",634,54,0,0,0,1,0,0,0,0,226,28,185,41,6,1,3,5,2,11
"G130005097013","1990",,,,,,,"3","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",863,109,0,0,0,0,0,0,0,1,337,39,273,64,5,9,0,4,0,21
"G130005097021","1990",,,,,,,"1","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",856,250,1,0,0,14,0,0,4,5,445,54,279,166,35,8,1,0,0,10
"G130005097022","1990",,,,,,,"2","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1514,22,0,3,0,10,0,0,0,0,551,71,462,89,6,12,0,4,3,46
"G130005097023","1990",,,,,,,"3","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1751,112,3,1,1,4,0,3,1,10,675,83,503,172,34,15,8,1,1,24
"G130005097024","1990",,,,,,,"4","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",596,162,0,6,2,1,5,2,0,0,307,29,185,122,15,4,1,2,0,7
"G130005097025","1990",,,,,,,"5","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",948,720,2,2,0,3,6,0,0,1,591,63,338,253,42,5,1,2,0,13
"G130007096011","1990",,,,,,,"1","9601",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",579,541,0,0,0,1,0,0,0,4,403,65,261,142,12,9,5,4,1,34
"G130007096012","1990",,,,,,,"2","9601",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",437,597,0,0,0,0,1,0,0,0,362,54,283,79,7,4,15,12,0,16
"G13000709602981","1990",,,,,,,"1","960298",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",448,272,0,2,0,0,12,0,0,0,275,45,227,48,1,1,2,6,0,35
"G13000709602982","1990",,,,,,,"2","960298",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",281,417,1,0,0,1,2,0,0,0,253,34,173,80,6,1,0,7,0,20
"G13000709603971","1990",,,,,,,"1","960397",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13000709603972","1990",,,,,,,"2","960397",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",0,10,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,1
"G13000709603981","1990",,,,,,,"1","960398",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",0,9,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0
"G130009097011","1990",,,,,,,"1","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",763,242,0,3,0,5,0,0,0,0,367,259,319,48,0,0,3,230,0,26
"G130009097012","1990",,,,,,,"2","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",523,315,0,0,0,0,0,0,0,0,286,37,243,43,1,1,0,0,0,35
"G130009097013","1990",,,,,,,"3","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",725,495,0,0,0,4,0,0,0,0,417,52,365,52,3,2,6,1,0,40
"G130009097021","1990",,,,,,,"1","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",954,35,4,2,0,3,0,0,0,2,417,181,301,116,44,14,0,54,0,69
"G130009097022","1990",,,,,,,"2","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",969,47,1,2,0,2,0,0,0,0,415,138,351,64,23,75,1,28,0,11
"G130009097023","1990",,,,,,,"3","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1316,290,1,20,0,26,2,0,0,6,562,59,411,151,15,2,0,16,0,26
"G130009097024","1990",,,,,,,"4","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",67,891,0,1,0,1,2,0,0,0,287,32,96,191,9,0,0,1,0,22
"G130009097025","1990",,,,,,,"5","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",317,424,0,9,0,0,0,0,0,0,303,37,111,192,15,0,0,1,0,21
"G130009097031","1990",,,,,,,"1","9703",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",789,107,0,7,0,0,0,0,0,6,356,220,295,61,8,4,0,185,0,23
"G130009097032","1990",,,,,,,"2","9703",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1277,628,2,10,0,28,0,0,0,7,678,108,540,138,92,3,2,1,0,10
"G130009097041","1990",,,,,,,"1","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",754,83,4,52,0,16,1,0,5,1,388,27,300,88,15,2,1,0,0,9
"G130009097042","1990",,,,,,,"2","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",451,534,0,11,0,8,0,0,0,5,363,29,300,63,8,3,2,2,0,14
"G130009097043","1990",,,,,,,"3","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",461,430,1,4,0,14,0,0,0,1,372,29,215,157,5,5,0,0,0,19
"G130009097044","1990",,,,,,,"4","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",46,506,1,0,0,0,0,0,0,0,223,55,114,109,6,2,1,1,0,45
"G130009097045","1990",,,,,,,"5","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",753,289,0,18,1,13,0,0,0,2,360,62,101,259,29,3,5,0,0,25
"G130009097051","1990",,,,,,,"1","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",814,497,0,14,0,4,1,0,4,0,444,43,178,266,6,0,3,0,0,34
"G130009097052","1990",,,,,,,"2","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",406,977,2,2,0,0,1,0,0,0,399,28,140,259,14,2,1,1,0,10
"G130009097053","1990",,,,,,,"3","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",635,398,0,1,0,0,0,0,1,1,354,39,326,28,4,2,1,4,0,28
"G130009097061","1990",,,,,,,"1","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",522,781,1,6,0,0,0,0,0,2,486,59,340,146,12,7,2,1,0,37
"G130009097062","1990",,,,,,,"2","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",862,252,1,8,1,7,0,0,0,4,465,25,280,185,12,2,1,2,0,8
"G130009097063","1990",,,,,,,"3","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",367,530,0,0,0,0,0,0,0,0,329,58,231,98,10,2,1,2,0,43
"G130009097064","1990",,,,,,,"4","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",151,1483,0,1,0,0,1,0,0,0,480,43,407,73,11,2,1,0,0,29
"G130009097071","1990",,,,,,,"1","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",321,381,1,9,0,5,0,0,0,2,254,39,130,124,19,1,0,0,1,18
"G130009097072","1990",,,,,,,"2","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",890,164,0,22,0,9,0,0,0,1,444,32,300,144,9,1,1,1,0,20
"G130009097073","1990",,,,,,,"3","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",314,421,2,4,0,0,3,0,0,0,296,75,163,133,15,1,4,0,0,55
"G130009097074","1990",,,,,,,"4","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",733,927,1,0,0,5,7,0,1,0,418,67,198,220,15,1,2,2,0,47
"G130009097075","1990",,,,,,,"5","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",2413,2649,9,36,1,74,13,0,3,9,371,55,159,212,26,3,0,0,0,26
"G130009097081","1990",,,,,,,"1","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1358,795,7,4,0,6,6,0,0,6,451,31,370,81,6,6,1,2,0,16
"G130009097082","1990",,,,,,,"2","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",738,454,5,3,0,2,0,0,0,0,409,48,344,65,2,2,4,1,0,39
"G130009097083","1990",,,,,,,"3","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",919,184,1,8,0,2,0,0,0,0,397,31,346,51,7,1,0,4,0,19
"G130009097084","1990",,,,,,,"4","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",601,459,0,0,0,8,1,0,0,0,374,37,329,45,0,1,2,6,0,28
"G130011098011","1990",,,,,,,"1","9801",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1704,3,0,15,0,4,0,0,0,2,647,57,540,107,16,5,5,17,0,14
"G130011098012","1990",,,,,,,"2","9801",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1420,1,1,4,0,7,0,0,0,0,541,51,402,139,10,0,12,13,0,16
"G130011098021","1990",,,,,,,"1","9802",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1343,69,4,3,0,0,0,0,0,0,523,81,415,108,5,3,8,19,0,46
"G130011098022","1990",,,,,,,"2","9802",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1446,65,9,0,0,7,0,1,0,3,566,59,429,137,10,1,0,4,0,44
"G130011098031","1990",,,,,,,"1","9803",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1160,18,1,3,0,6,0,0,0,0,432,44,377,55,7,1,10,6,0,20
"G130011098032","1990",,,,,,,"2","9803",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1140,4,0,6,0,2,0,0,0,0,414,38,356,58,7,2,3,1,0,25
"G130011098041","1990",,,,,,,"1","9804",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1599,204,2,0,0,4,0,0,0,16,641,88,539,102,3,9,26,16,0,34
"G13001109805961","1990",,,,,,,"1","980596",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13001109805971","1990",,,,,,,"1","980597",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G13001109805981","1990",,,,,,,"1","980598",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",32,0,0,0,0,0,0,0,0,0,11,0,9,2,0,0,0,0,0,0
"G130013018011","1990",,,,,,,"1","1801",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 1",6510,166,9,123,1,46,0,0,3,65,2400,362,1907,493,156,78,18,4,0,106
"G130013018012","1990",,,,,,,"2","1801",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 2",1313,5,2,0,0,8,0,0,0,8,465,50,380,85,8,5,3,1,0,33
"G130013018013","1990",,,,,,,"3","1801",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 3",285,18,0,0,0,0,0,0,0,0,103,11,61,42,1,1,4,0,0,5
"G130013018021","1990",,,,,,,"1","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 1",1100,959,5,5,0,10,4,0,0,4,699,90,370,329,29,3,6,10,0,42
"G130013018022","1990",,,,,,,"2","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 2",616,299,4,5,2,0,0,0,0,0,358,94,209,149,75,5,3,2,0,9
"G130013018023","1990",,,,,,,"3","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 3",1374,83,2,15,0,1,0,3,0,0,611,48,438,173,26,14,2,4,0,2
"G130013018024","1990",,,,,,,"4","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 4",1374,353,7,21,1,6,0,0,6,5,697,38,233,464,22,4,1,1,0,10
"G130013018025","1990",,,,,,,"5","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 5",1710,17,8,6,0,10,0,0,1,0,716,103,467,249,74,15,6,1,0,7
"G130013018031","1990",,,,,,,"1","1803",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 1",2788,23,5,12,0,3,0,0,0,1,988,56,828,160,10,17,4,4,0,21
"G130013018032","1990",,,,,,,"2","1803",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 2",1996,56,7,7,0,5,0,0,0,6,764,67,584,180,20,11,1,4,0,31
"G130013018041","1990",,,,,,,"1","1804",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 1",1752,439,6,7,0,8,0,0,0,1,797,46,668,129,5,4,1,6,0,30
"G130013018042","1990",,,,,,,"2","1804",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 2",1032,399,2,0,0,8,0,0,0,5,479,44,337,142,13,1,2,2,0,26
"G130013018043","1990",,,,,,,"3","1804",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 3",403,4,1,1,0,4,0,0,0,0,156,13,132,24,1,2,0,1,0,9
"G130013018051","1990",,,,,,,"1","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 1",938,120,4,2,0,2,0,0,0,7,372,30,298,74,9,0,3,1,0,17
"G130013018052","1990",,,,,,,"2","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 2",1703,375,2,14,0,11,2,0,0,3,734,61,536,198,24,9,8,2,0,18
"G130013018053","1990",,,,,,,"3","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 3",142,0,0,0,0,1,0,0,0,0,52,8,39,13,1,1,0,0,0,6
"G130013018054","1990",,,,,,,"4","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,"BG 4",798,32,0,0,0,5,0,0,0,1,285,15,229,56,5,3,3,0,0,4
"G130015096011","1990",,,,,,,"1","9601",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1507,20,2,1,0,1,0,0,0,0,543,37,467,76,7,8,0,4,0,18
"G130015096012","1990",,,,,,,"2","9601",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1978,58,6,3,0,14,0,0,0,2,724,53,581,143,4,12,0,6,0,31
"G130015096013","1990",,,,,,,"3","9601",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1966,10,0,0,0,7,0,0,0,0,697,64,545,152,30,4,5,4,0,21
"G130015096021","1990",,,,,,,"1","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1354,20,3,9,1,18,0,0,0,0,467,45,381,86,9,7,1,2,0,26
"G130015096022","1990",,,,,,,"2","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",582,276,13,3,0,0,0,0,0,0,307,23,211,96,2,2,2,0,0,17
"G130015096023","1990",,,,,,,"3","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1124,21,0,0,0,5,0,0,0,1,425,22,346,79,4,3,0,1,0,14
"G130015096024","1990",,,,,,,"4","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",831,339,1,6,0,0,0,0,0,0,424,35,251,173,11,8,8,0,0,8
"G130015096025","1990",,,,,,,"5","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",1232,15,8,3,0,1,0,0,0,0,413,16,365,48,3,7,2,2,0,2
"G13001509603981","1990",,,,,,,"1","960398",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1429,187,0,0,0,0,0,0,0,0,543,35,448,95,6,15,0,5,0,9
"G13001509603982","1990",,,,,,,"2","960398",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1434,134,1,0,0,6,0,0,0,6,548,35,439,109,5,11,0,2,0,17
"G13001509603983","1990",,,,,,,"3","960398",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",9,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0
"G130015096041","1990",,,,,,,"1","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1329,81,5,19,0,4,0,1,0,0,487,17,405,82,10,3,2,0,0,2
"G130015096042","1990",,,,,,,"2","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1882,193,0,2,0,12,0,0,0,5,844,57,379,465,23,6,9,12,0,7
"G130015096043","1990",,,,,,,"3","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1462,85,0,6,0,8,0,0,0,3,512,72,382,130,48,7,1,11,0,5
"G130015096044","1990",,,,,,,"4","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",1288,183,3,9,0,11,0,2,2,12,521,38,314,207,26,6,0,1,0,5
"G130015096045","1990",,,,,,,"5","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",1300,44,1,1,0,10,0,0,0,13,507,44,330,177,28,9,4,1,0,2
"G130015096051","1990",,,,,,,"1","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",935,169,3,0,0,1,0,0,0,4,404,18,291,113,9,2,0,3,0,4
"G130015096052","1990",,,,,,,"2","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1154,40,0,0,0,4,0,1,0,24,476,38,366,110,24,8,1,3,0,2
"G130015096053","1990",,,,,,,"3","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1012,57,4,0,0,1,1,0,0,6,412,37,293,119,21,4,3,0,0,9
"G130015096054","1990",,,,,,,"4","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",1504,157,1,2,0,10,2,1,0,1,600,40,366,234,30,1,4,1,0,4
"G130015096061","1990",,,,,,,"1","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",949,94,0,0,0,9,0,1,0,8,411,40,295,116,18,16,0,1,0,5
"G130015096062","1990",,,,,,,"2","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",249,697,1,2,0,2,3,0,0,9,355,34,140,215,17,2,0,0,0,15
"G130015096063","1990",,,,,,,"3","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",554,81,0,1,2,8,0,3,0,15,333,45,105,228,24,8,1,0,0,12
"G130015096064","1990",,,,,,,"4","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",543,253,0,2,0,1,1,0,0,5,314,34,216,98,12,7,2,1,0,12
"G130015096065","1990",,,,,,,"5","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",805,12,0,4,0,3,0,0,0,0,355,25,290,65,5,9,5,1,0,5
"G130015096066","1990",,,,,,,"6","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 6",1564,46,3,12,0,13,0,0,0,4,595,34,403,192,7,18,3,0,0,6
"G130015096071","1990",,,,,,,"1","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",1035,0,1,1,0,5,0,0,0,0,362,74,294,68,5,7,3,56,0,3
"G130015096072","1990",,,,,,,"2","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",691,331,1,12,0,3,0,0,0,0,407,40,221,186,24,2,2,3,0,9
"G130015096073","1990",,,,,,,"3","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1185,49,3,9,0,3,1,0,0,29,588,57,313,275,34,12,3,1,0,7
"G130015096074","1990",,,,,,,"4","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",671,324,0,0,0,10,5,0,1,11,339,49,178,161,10,0,12,2,0,25
"G130015096075","1990",,,,,,,"5","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",717,131,2,2,0,4,0,1,0,6,317,21,96,221,11,3,2,1,0,4
"G130015096081","1990",,,,,,,"1","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",3250,233,13,15,1,30,0,0,2,8,1179,88,1025,154,14,36,16,8,0,14
"G130015096082","1990",,,,,,,"2","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",1520,4,12,3,0,6,0,0,1,8,602,67,421,181,30,11,3,9,0,14
"G130015096083","1990",,,,,,,"3","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1388,34,10,3,0,15,0,0,0,1,505,35,406,99,10,13,1,1,0,10
"G130015096084","1990",,,,,,,"4","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 4",1123,5,4,2,0,11,0,0,0,1,411,29,285,126,5,7,0,6,0,11
"G130015096085","1990",,,,,,,"5","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 5",1443,197,1,2,0,16,0,0,0,3,575,64,467,108,28,13,6,2,0,15
"G130015096091","1990",,,,,,,"1","9609",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 1",929,153,2,1,0,1,0,0,0,2,377,16,334,43,5,5,1,0,0,5
"G130015096092","1990",,,,,,,"2","9609",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 2",2097,223,5,1,3,27,0,0,0,4,793,63,632,161,18,29,4,3,0,9
"G130015096093","1990",,,,,,,"3","9609",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,"BG 3",1066,5,0,0,0,2,0,0,0,0,374,33,296,78,8,12,4,0,0,9
