GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E1A001,E1A002,E1A003,E1A004,E1A005,E1A006,E1A007,E1A008,E1A009,E1A010
"G130001095011","1990",,,,,,"1","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",914,28,0,0,0,0,0,0,0,0
"G130001095012","1990",,,,,,"2","9501",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1309,94,0,0,0,0,0,0,0,34
"G130001095021","1990",,,,,,"1","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1047,708,0,0,0,0,0,0,0,0
"G130001095022","1990",,,,,,"2","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",540,684,21,0,0,0,0,0,0,0
"G130001095023","1990",,,,,,"3","9502",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",471,821,0,0,0,0,0,0,0,0
"G130001095031","1990",,,,,,"1","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1011,127,0,0,0,0,0,0,0,0
"G130001095032","1990",,,,,,"2","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1152,0,0,0,0,10,0,0,0,8
"G130001095033","1990",,,,,,"3","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",837,29,0,0,0,0,0,0,0,0
"G130001095034","1990",,,,,,"4","9503",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",1029,329,20,0,0,0,0,0,0,0
"G130001095041","1990",,,,,,"1","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",473,205,0,0,0,0,0,0,0,0
"G130001095042","1990",,,,,,"2","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",546,0,0,0,0,0,0,0,0,0
"G130001095043","1990",,,,,,"3","9504",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",400,16,0,0,0,0,0,0,0,0
"G130001095051","1990",,,,,,"1","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",844,15,0,0,0,0,0,0,0,0
"G130001095052","1990",,,,,,"2","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",936,0,10,0,0,0,0,0,0,0
"G130001095053","1990",,,,,,"3","9505",,,"Appling","001",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",859,213,4,0,0,0,0,0,0,0
"G130003096011","1990",,,,,,"1","9601",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",590,210,0,0,0,0,0,0,0,10
"G130003096012","1990",,,,,,"2","9601",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",513,418,0,2,0,0,0,0,0,3
"G130003096021","1990",,,,,,"1","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1139,26,0,0,0,0,0,0,0,63
"G130003096022","1990",,,,,,"2","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",650,529,0,0,0,3,0,0,0,23
"G130003096023","1990",,,,,,"3","9602",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",746,398,0,0,0,2,0,0,0,0
"G130003096031","1990",,,,,,"1","9603",,,"Atkinson","003",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",800,88,0,0,0,0,0,0,0,0
"G130005097011","1990",,,,,,"1","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",800,42,0,5,0,0,0,0,0,0
"G130005097012","1990",,,,,,"2","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",656,51,0,0,0,0,0,0,0,0
"G130005097013","1990",,,,,,"3","9701",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",884,129,0,0,0,0,0,0,0,0
"G130005097021","1990",,,,,,"1","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",815,168,0,0,0,20,0,0,0,15
"G130005097022","1990",,,,,,"2","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1592,0,0,0,0,18,0,0,0,0
"G130005097023","1990",,,,,,"3","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1736,73,11,0,0,0,0,23,0,0
"G130005097024","1990",,,,,,"4","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",549,152,0,0,0,0,0,0,0,0
"G130005097025","1990",,,,,,"5","9702",,,"Bacon","005",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",952,860,0,0,0,15,0,0,0,0
"G130007096011","1990",,,,,,"1","9601",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",666,423,0,0,0,1,0,0,0,0
"G130007096012","1990",,,,,,"2","9601",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",470,606,0,0,0,0,0,0,0,0
"G13000709602981","1990",,,,,,"1","960298",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",346,356,0,0,0,0,0,0,0,0
"G13000709602982","1990",,,,,,"2","960298",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",264,473,0,0,0,0,10,0,0,0
"G13000709603971","1990",,,,,,"1","960397",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0
"G13000709603972","1990",,,,,,"2","960397",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",0,0,0,0,0,0,0,0,0,0
"G13000709603981","1990",,,,,,"1","960398",,,"Baker","007",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0
"G130009097011","1990",,,,,,"1","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",713,256,0,4,0,0,0,0,0,0
"G130009097012","1990",,,,,,"2","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",472,324,0,0,0,0,0,0,0,0
"G130009097013","1990",,,,,,"3","9701",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",832,471,0,0,0,0,0,0,0,0
"G130009097021","1990",,,,,,"1","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",951,88,0,0,0,0,0,0,0,0
"G130009097022","1990",,,,,,"2","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",891,94,0,0,0,0,0,0,0,0
"G130009097023","1990",,,,,,"3","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1283,335,0,6,0,13,0,0,0,0
"G130009097024","1990",,,,,,"4","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",48,957,0,0,0,0,0,0,0,0
"G130009097025","1990",,,,,,"5","9702",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",352,384,0,0,0,0,0,0,0,0
"G130009097031","1990",,,,,,"1","9703",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",818,101,0,20,0,0,0,0,0,0
"G130009097032","1990",,,,,,"2","9703",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1408,471,7,24,0,7,0,0,0,0
"G130009097041","1990",,,,,,"1","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",799,46,0,90,0,10,0,0,0,0
"G130009097042","1990",,,,,,"2","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",414,608,0,22,0,0,0,0,0,0
"G130009097043","1990",,,,,,"3","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",501,350,0,0,0,25,0,0,0,0
"G130009097044","1990",,,,,,"4","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",51,523,0,0,0,0,0,0,0,0
"G130009097045","1990",,,,,,"5","9704",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",673,276,0,17,8,30,0,0,0,0
"G130009097051","1990",,,,,,"1","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",749,539,0,17,0,5,0,0,0,0
"G130009097052","1990",,,,,,"2","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",474,930,0,0,0,0,0,0,0,0
"G130009097053","1990",,,,,,"3","9705",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",720,429,0,0,0,0,0,0,0,0
"G130009097061","1990",,,,,,"1","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",528,900,0,0,0,0,0,0,0,5
"G130009097062","1990",,,,,,"2","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",797,213,0,0,0,16,0,0,0,0
"G130009097063","1990",,,,,,"3","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",420,543,0,0,0,0,0,0,0,0
"G130009097064","1990",,,,,,"4","9706",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",163,1528,0,0,0,0,0,0,0,0
"G130009097071","1990",,,,,,"1","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",323,377,7,0,0,26,0,0,0,0
"G130009097072","1990",,,,,,"2","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",910,93,0,0,0,0,0,0,0,0
"G130009097073","1990",,,,,,"3","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",299,435,0,23,0,0,0,0,0,0
"G130009097074","1990",,,,,,"4","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",656,1053,0,0,0,0,0,0,0,0
"G130009097075","1990",,,,,,"5","9707",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",2230,2499,30,33,0,129,0,0,19,12
"G130009097081","1990",,,,,,"1","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1488,753,0,0,0,14,0,0,0,0
"G130009097082","1990",,,,,,"2","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",786,401,0,0,0,0,0,0,0,0
"G130009097083","1990",,,,,,"3","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",916,191,0,0,0,0,0,0,0,0
"G130009097084","1990",,,,,,"4","9708",,,"Baldwin","009",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",483,589,0,0,0,6,0,0,0,0
"G130011098011","1990",,,,,,"1","9801",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1700,0,0,8,0,5,0,0,0,0
"G130011098012","1990",,,,,,"2","9801",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1426,0,11,7,0,12,0,0,0,0
"G130011098021","1990",,,,,,"1","9802",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1408,62,0,5,0,0,0,0,0,0
"G130011098022","1990",,,,,,"2","9802",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1365,72,0,0,0,23,0,0,0,15
"G130011098031","1990",,,,,,"1","9803",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1159,2,0,0,0,0,0,0,0,0
"G130011098032","1990",,,,,,"2","9803",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1220,0,0,0,0,2,0,0,0,0
"G130011098041","1990",,,,,,"1","9804",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1496,224,6,0,0,6,0,0,0,50
"G13001109805961","1990",,,,,,"1","980596",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0
"G13001109805971","1990",,,,,,"1","980597",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",0,0,0,0,0,0,0,0,0,0
"G13001109805981","1990",,,,,,"1","980598",,,"Banks","011",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",24,0,0,0,0,0,0,0,0,0
"G130013018011","1990",,,,,,"1","1801",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",6443,229,10,96,0,47,0,0,0,55
"G130013018012","1990",,,,,,"2","1801",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",1344,10,0,0,0,22,0,0,0,0
"G130013018013","1990",,,,,,"3","1801",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",300,6,0,0,0,0,0,0,0,0
"G130013018021","1990",,,,,,"1","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",1009,976,0,0,0,9,22,0,0,7
"G130013018022","1990",,,,,,"2","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",555,387,0,0,27,0,0,0,0,0
"G130013018023","1990",,,,,,"3","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",1414,41,0,9,0,0,0,0,0,0
"G130013018024","1990",,,,,,"4","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",1471,326,0,0,0,0,0,0,0,9
"G130013018025","1990",,,,,,"5","1802",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 5",1727,0,0,9,0,28,0,0,0,0
"G130013018031","1990",,,,,,"1","1803",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",2838,22,19,0,0,0,0,0,0,0
"G130013018032","1990",,,,,,"2","1803",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",1934,14,40,25,0,7,0,0,0,0
"G130013018041","1990",,,,,,"1","1804",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",1812,391,3,0,0,17,0,0,0,0
"G130013018042","1990",,,,,,"2","1804",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",988,445,2,0,0,0,0,0,0,4
"G130013018043","1990",,,,,,"3","1804",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",397,6,0,0,0,7,0,0,0,0
"G130013018051","1990",,,,,,"1","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 1",911,123,0,0,0,6,0,0,0,6
"G130013018052","1990",,,,,,"2","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 2",1756,350,0,0,0,33,0,0,0,8
"G130013018053","1990",,,,,,"3","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 3",143,0,0,0,0,2,0,0,0,0
"G130013018054","1990",,,,,,"4","1805",,,"Barrow","013",,"5","0520",,"9999","3","Georgia","13",,,,,"BG 4",771,53,0,0,0,0,0,0,0,0
"G130015096011","1990",,,,,,"1","9601",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1442,89,0,0,0,0,0,0,0,0
"G130015096012","1990",,,,,,"2","9601",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1900,144,16,0,0,0,0,0,0,0
"G130015096013","1990",,,,,,"3","9601",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1976,6,0,0,0,2,0,0,0,0
"G130015096021","1990",,,,,,"1","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1355,14,0,0,0,7,0,0,0,0
"G130015096022","1990",,,,,,"2","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",665,176,50,0,0,0,0,0,0,0
"G130015096023","1990",,,,,,"3","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1162,26,0,0,0,0,0,0,0,0
"G130015096024","1990",,,,,,"4","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",729,432,0,6,0,0,0,0,0,0
"G130015096025","1990",,,,,,"5","9602",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",1312,0,0,13,0,0,0,0,0,0
"G13001509603981","1990",,,,,,"1","960398",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1416,199,0,0,0,0,0,0,0,0
"G13001509603982","1990",,,,,,"2","960398",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1433,150,0,0,0,31,0,0,0,23
"G13001509603983","1990",,,,,,"3","960398",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",0,0,0,0,0,0,0,0,0,0
"G130015096041","1990",,,,,,"1","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1365,53,42,0,0,0,0,0,0,0
"G130015096042","1990",,,,,,"2","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1853,184,0,0,0,0,0,0,0,0
"G130015096043","1990",,,,,,"3","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1349,118,0,22,0,6,0,0,0,10
"G130015096044","1990",,,,,,"4","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",1265,179,23,8,0,0,0,0,0,0
"G130015096045","1990",,,,,,"5","9604",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",1339,31,0,0,0,8,0,0,0,0
"G130015096051","1990",,,,,,"1","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",954,156,0,0,0,0,0,0,0,0
"G130015096052","1990",,,,,,"2","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1212,0,0,0,0,9,0,0,0,0
"G130015096053","1990",,,,,,"3","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1041,14,0,0,0,0,0,0,0,0
"G130015096054","1990",,,,,,"4","9605",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",1490,224,0,0,0,0,0,0,0,6
"G130015096061","1990",,,,,,"1","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",907,121,0,0,0,0,0,0,0,0
"G130015096062","1990",,,,,,"2","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",290,710,0,0,0,0,0,0,0,0
"G130015096063","1990",,,,,,"3","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",570,63,0,8,0,0,0,0,0,0
"G130015096064","1990",,,,,,"4","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",477,258,0,12,0,0,0,0,0,0
"G130015096065","1990",,,,,,"5","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",768,34,0,0,0,9,0,0,0,0
"G130015096066","1990",,,,,,"6","9606",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 6",1684,27,0,0,0,0,0,0,0,0
"G130015096071","1990",,,,,,"1","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1107,0,0,0,0,10,0,0,0,0
"G130015096072","1990",,,,,,"2","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",579,343,8,41,0,0,0,0,0,0
"G130015096073","1990",,,,,,"3","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1216,0,0,0,0,0,0,0,0,29
"G130015096074","1990",,,,,,"4","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",645,347,0,0,0,0,0,0,0,0
"G130015096075","1990",,,,,,"5","9607",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",695,152,0,0,0,7,0,0,0,31
"G130015096081","1990",,,,,,"1","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",3341,204,0,30,0,13,0,0,7,0
"G130015096082","1990",,,,,,"2","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1479,30,42,0,0,10,0,0,0,37
"G130015096083","1990",,,,,,"3","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1421,38,8,0,0,9,0,0,0,0
"G130015096084","1990",,,,,,"4","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",1087,0,13,8,0,7,0,0,0,0
"G130015096085","1990",,,,,,"5","9608",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",1356,201,0,12,0,26,0,0,0,10
"G130015096091","1990",,,,,,"1","9609",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",947,139,0,0,0,0,0,0,0,0
"G130015096092","1990",,,,,,"2","9609",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",2086,259,2,0,0,16,0,0,0,0
"G130015096093","1990",,,,,,"3","9609",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",1079,0,0,0,0,4,0,0,0,0
"G130015096101","1990",,,,,,"1","9610",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1710,13,7,0,0,8,0,0,0,0
"G130015096102","1990",,,,,,"2","9610",,,"Bartow","015",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1349,14,0,0,0,6,0,0,0,0
"G130017096011","1990",,,,,,"1","9601",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1560,109,5,0,0,14,0,0,0,0
"G130017096021","1990",,,,,,"1","9602",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1004,226,0,0,0,0,25,0,0,0
"G130017096031","1990",,,,,,"1","9603",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1073,0,23,5,0,8,0,0,0,0
"G130017096032","1990",,,,,,"2","9603",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",527,415,0,6,0,0,0,0,0,0
"G130017096033","1990",,,,,,"3","9603",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",511,337,0,0,0,0,0,0,0,0
"G130017096034","1990",,,,,,"4","9603",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",594,64,0,0,0,0,0,0,0,0
"G130017096041","1990",,,,,,"1","9604",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",909,236,0,0,0,0,0,0,0,0
"G130017096042","1990",,,,,,"2","9604",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",400,384,0,0,0,6,0,0,0,0
"G130017096043","1990",,,,,,"3","9604",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",204,518,0,0,0,0,0,0,0,0
"G130017096044","1990",,,,,,"4","9604",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",529,404,0,0,0,28,0,0,0,0
"G130017096051","1990",,,,,,"1","9605",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1287,0,0,0,0,7,0,0,0,0
"G130017096052","1990",,,,,,"2","9605",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",868,113,0,0,0,17,0,0,0,0
"G130017096053","1990",,,,,,"3","9605",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",842,167,10,9,0,0,0,0,0,0
"G130017096054","1990",,,,,,"4","9605",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",5,946,0,0,0,0,0,0,0,0
"G130017096055","1990",,,,,,"5","9605",,,"Ben Hill","017",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 5",705,1145,0,0,0,0,0,0,0,0
"G130019097011","1990",,,,,,"1","9701",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",762,41,0,0,0,43,0,0,0,0
"G130019097012","1990",,,,,,"2","9701",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",336,473,0,0,0,39,4,0,0,0
"G130019097021","1990",,,,,,"1","9702",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",933,115,3,4,0,14,0,0,0,8
"G130019097022","1990",,,,,,"2","9702",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1111,0,0,0,0,7,0,0,0,0
"G130019097031","1990",,,,,,"1","9703",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",1046,41,0,0,0,0,0,0,0,0
"G130019097032","1990",,,,,,"2","9703",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",1115,0,0,0,0,0,0,0,0,0
"G130019097041","1990",,,,,,"1","9704",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",460,0,0,0,0,0,0,0,0,0
"G130019097042","1990",,,,,,"2","9704",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",906,0,0,0,0,10,0,0,0,0
"G130019097043","1990",,,,,,"3","9704",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 3",774,378,8,0,0,0,17,0,0,0
"G130019097044","1990",,,,,,"4","9704",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 4",298,0,0,0,0,29,0,0,0,0
"G130019097051","1990",,,,,,"1","9705",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",763,445,0,0,0,0,0,0,0,0
"G130019097052","1990",,,,,,"2","9705",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",2047,0,0,0,0,30,0,0,0,0
"G130019097061","1990",,,,,,"1","9706",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 1",891,125,9,12,0,22,0,0,0,0
"G130019097062","1990",,,,,,"2","9706",,,"Berrien","019",,"5","9999",,"9999","3","Georgia","13",,,,,"BG 2",824,5,0,0,0,5,0,0,0,0
"G130021001011","1990",,,,,,"1","0101",,,"Bibb","021",,"5","4680",,"9999","3","Georgia","13",,,,,"BG 1",0,830,0,0,0,0,6,0,0,0
"G130021001012","1990",,,,,,"2","0101",,,"Bibb","021",,"5","4680",,"9999","3","Georgia","13",,,,,"BG 2",26,811,0,0,0,0,0,0,0,0
